ISO STATUS;T6 CARGO TYPE
22G1DG;20DG
22G1LA;D20
22G1MT;MD20
22P1LA;FR20
22P1MT;MFR20
22P1OG;FR20
22R1LA;R20
22R1MT;MR20
22R1RF;R20
22R1DG;20RG
22T1DG;TK20D
22T1LA;TK20
22T1MT;MTK20
22T1MT DG;MTK20D
22U1DG;20OTG
22U1LA;20OT
22U1MT;M20OT
22U1OG;20OT
22U1OG DG;20OTG
22U1OT;20OT
24T1DG;TK24D
24T1LA;TK24
24T1MT;MTK24
25G1DG;22HG
25G1LA;20HC
25G1MT;M20HC
25U1LA;20OH
26T1DG;TK26D
26T1LA;TK26
26T1MT;MTK26
26T1MT DG;MTK26D
30G1LA;D30
3EB0DG;TK30D
3EB0LA;TK30
3EB0MT;MTK30
3EB0MT DG;MTK30D
42G1DG;40DG
42G1LA;D40
42G1MT;MD40
42P1LA;FR40
42P1MT;MFR40
42P1OG;FR40
42P1OG DG;FR40DG
42R1LA;R40
42R1MT;MR40
42R1RF;R40
42T1DG;TK40D
42T1LA;TK40
42T1MT;MTK40
42T1MT DG;MTK40D
42U1DG;40OTG
42U1LA;40OT
42U1MT;M40OT
42U1OG;40OT
42U1OG DG;40OTG
42U1OT;40OT
45G1DG;40HG
45G1LA;40HC
45G1MT;M40HC
45P1LA;FR40HC
45P1MT;MFR40HC
45P1OG;FR40HC
45R1DG;40RG
45R1LA;40RH
45R1MT;M40RH
45R1RF;40RH
45U1LA;40OH
45U1MT;M40OH
45U1OG;40OH
45U1OT;40OH
4CG1LA;PW40
4CG1MT;MPW40
4EG1LA;PW40HC
4EG1MT;MPW40H
L5G1LA;45HC
L5G1MT;M45HC
LEG1LA;PW45
LEG1MT;MPW45
