MLO;NAME
ACLE;ACL
ALI;HAMBURGSUD
APCC;APL
BHL;BULKHAUL
BKMN;TRANSATLANTIC CONTAINER
BMCS;BRESS MUNDIAL CONTAINER SERVICE
BOST;BOSCHMANS STEINACHER 
BRUH;BRUHN SPEDITION
CMA;CMA CGM
COS;COSCO
COSH;COSCO
DAL;DAL
DBCG;DB SCHENKER
DHAR;DEN HARTOGH
DHL;DHL
DIAM;DIAMOND LINE
EMSK;EIMSKIP
EVEH;EVEH
EVER;EVER
EVMA;EVMA
EVMS;EVMS
FES;FESCO
GFSO;G-SOLUTIONS
GFSY;G-SOLUTIONS
GZIM;ZIM
HL;HL
HMM;HMM
HOYR;HOYER
HSL;HAMBURGSUD
HTSU;EVER
KRCH;KRAUS CHEMIE
KRCN;KRICON
KULA;KUHNE NAGEL
LES;LESCHACO
LT;LT
MACA;MACANDREWS
MANN;MANN LINES
MNAK;MISNAK INTERNATIONAL
MOOW;MOONWAY
MSCA;MSC
MSK;MAERSK
MSLO;M&S LOGISTICS
NEWP;NEWPORT
OCEN;OCEN
ONE;ONE
OOCL;OOCL
OUTS;OUTOKUMPU STAINLESS
SAM;SAMSKIP
SEGO;SEALAND
SELD;MAERSK
SUT;SUTTONS
TACF;TRANSATLANTIC CONTAINER
TANK;TANK MANAGEMENT
TBA;TO BE ANNOUNCED
TOSS;TOSS
UNFR;UNIFEEDER
WEC;WEC
XCLUK;X-PRESS
YML;YML
VOTG;VTG TANK CONTAINER
