CARGO TYPE INPUT;TYPE OUTPUT
2200;22G1
2210;22G1
20';22G1
20DV;22G1
20GP;22G1
20'GP;22G1
20H1;22G1
20ST;22G1
22GP;22G1
2SD;22G1
D2;22G1
D20;22G1
2261;22P1
20FF;22P1
22PC;22P1
FR20;22P1
2230;22R1
22RT;22R1
R20;22R1
2270;22T1
20TD;22T1
20TK;22T1
20TN;22T1
22KL;22T1
22TD;22T1
22TN;22T1
TK20;22T1
2250;22U1
20OT;22U1
22OT;22U1
22UP;22U1
22UT;22U1
20OH;25U1
25UT;25U1
4200;42G1
4210;42G1
4300;42G1
4310;42G1
40DC;42G1
40DV;42G1
40'DV;42G1
40G2;42G1
40GP;42G1
40'GP;42G1
40ST;42G1
42GP;42G1
4SD;42G1
D4;42G1
D40;42G1
4261;42P1
4563;42P1
40FF;42P1
42P4;42P1
42PC;42P1
42PF;42P1
FR40;42P1
4330;42R1
R40;42R1
4270;42T1
TK40;42T1
4250;42U1
40OT;42U1
40OT;42U1
42UT;42U1
4500;45G1
4510;45G1
40H1;45G1
40HC;45G1
40'HC;45G1
40HQ;45G1
45GP;45G1
45UP;45G1
4SH;45G1
D5;45G1
45PC;45P1
4530;45R1
4532;45R1
40RC;45R1
40RH;45R1
40RH;45R1
45RE;45R1
45RT;45R1
4550;45U1
40OH;45U1
45UT;45U1
9500;L5G1
45HC;L5G1
PW45;LEG1
20' DC;22G1
40' DC;42G1
20' TANK CONTAINER;22T1
40' FLAT RACK;42T1
MD40;42G1
MD20;22G1
M40RH;45R1
M40HC;45G1
