TERMINAL INPUT;TERMINAL OUTPUT
HESSEN 37;BEMPT
HESSEN37;BEMPT
K913;BENOR
CTA;DECTA
CTA - Altenwerder;DECTA
CTA 16;DECTA
CTA016;DECTA
CTA16;DECTA
DEHAMDCTA;DECTA
HAM04;DECTA
HHLA CONTAINER TERMINAL ALTENWERDER (CTA);DECTA
BUCHARDKAI;DECTB
Bukai;DECTB
CTB;DECTB
CTB -  BUKAI;DECTB
DEHAMDBUR;DECTB
HAM02;DECTB
HHLA 002;DECTB
HHLA 2;DECTB
HHLA002;DECTB
HHLA2;DECTB
BLG006;DEEGB
BLG6;DEEGB
BRV01;DEEGB
DEBRV06;DEEGB
DEBRVDEUR;DEEGB
DEECT;DEEGB
EGB;DEEGB
EUROGATE CONTAINER TERMINAL BREMERHAVEN CT2;DEEGB
MSC GATE BREMERHAVEN;DEEGB
DEHAMDEUR;DEEGH
EUROGATE CONTAINER TERMINAL HAMBURG;DEEGH
EUROKA 4;DEEGH
EUROKA004;DEEGH
EUROKA4;DEEGH
DEBRVDNTB;DENST
DEBRVTM;DENST
NORTH SEA TERMINAL BREMERHAVEN;DENST
NTB;DENST
CTT;DETCT
CTT - Tollerort;DETCT
DECTT;DETCT
DEHAMDTCT;DETCT
HAM03;DETCT
HHLA 011;DETCT
HHLA 11;DETCT
HHLA011;DETCT
HHLA11;DETCT
TCT;DETCT
Tollerort;DETCT
DCD;NLEDE
ECT001;NLEDE
ECT021;NLEDE
NLDDE;NLEDE
NLRTMDDDE;NLEDE
ECT048;NLEMX
NLRTMDEMX;NLEMX
NLRTMDRWG;NLRWG
ROTTER80;NLRWG
RWG;NLRWG
AAHUSH001;SECNT
ANR02;BENOR
ANR07;BEDPW
ZEE03;BEZEE
BREMERHAVEN EUROGATE;DEEGB
BREMERHAVEN EURO;DENST
BREMERHAVEN NST EURO;DENST
HAMBURG BUKAI;DECTB
HAMBURG CTA;DECTA
HAMBURG TCT;DETCT
HAMBURG EUROGATE;DEEGH
Rotter 080;NLRWG
ROTTER080;NLRWG
APM TERMINALS MAASVLAKTE II;NLAPT
EUROGA077;DEEGW
NLROTT22;NLEDE
NLROTTM;NLAPT
DEHAMEK;DEEGH
