PORT;TERMINAL
BEANR;BEAEN
BEANR;BEAIG
BEANR;BEMPT
BEANR;BENOR
DEBRV;DEEGB
DEBRV;DENST
DEHAM;DECTA
DEHAM;DECTB
DEHAM;DEEGH
DEHAM;DETCT
DKAAR;DKAAR-AAR
DKCPH;DKCMP
DKFRC;DKFRC
FIHEL;FIHEL
FIKEM;FIAJO
FIKJO;FIKJO-KJO
FIKOK;FIAWT
FIKTK;FIKSM
FIOUL;FIORK
FITOR;FIOUK
NLRTM;NLEDE
NLRTM;NLEMX
NLRTM;NLRWG
SEAHU;SECNT
SEGOT;SEGOT
SEGVX;SEGCT
SEHEL;SEVAS
SEKAN;SESLL
SENRK;SEPAM
SEPIT;SEHAH
SESOE;SESYD
SESTO;SESTO-CTN
SEUME;SEUME-SCA
BEANR;BEDPW
BEZEE;BEZEE
DEWVN;DEEGW
NLRTM;NLAPT
NLRTM;NLRZZ
FIRAU;FIRAU-ERO
